relevance,doc_type_ai,doc_type_pages,page_count,doi,plant_host,fungal_taxon,tissue,presence_absence,primary_guild,interaction_notes,biome,country,data_source,source_file
Relevant,Abstract,Abstract,0,10.1016/j.chemosphere.2018.07.197,Lactuca sativa L (Lettuce),Aspergillus fumigatus,,Present,Endophytic,Isolated from plants grown near the University campus in Mardan and found to induce resistance in lettuce against chromium.,Urban,Pakistan,Abstract-CSV,DOI_10.1016_j.chemosphere.2018.07.197
Relevant,Abstract,Abstract,0,10.1007/s10123-023-00331-7,Aconitum heterophyllum,[Arthrinium spp.,"""leaf",stem,"root""",Present; Endophytic; Isolated from Aconitum heterophyllum,Kashmir Himalayas,India,Abstract-CSV,DOI_10.1007_s10123-023-00331-7
Relevant,Abstract,Abstract,0,10.1007/s10123-023-00331-7,Aconitum heterophyllum,Chaetomium spp.,"""leaf",stem,"root""",Present; Endophytic; Isolated from Aconitum heterophyllum,Kashmir Himalayas,India,Abstract-CSV,DOI_10.1007_s10123-023-00331-7
Relevant,Abstract,Abstract,0,10.1007/s10123-023-00331-7,Aconitum heterophyllum,Purpureocillium spp.,"""leaf",stem,"root""",Present; Endophytic; Isolated from Aconitum heterophyllum,Kashmir Himalayas,India,Abstract-CSV,DOI_10.1007_s10123-023-00331-7
Relevant,Abstract,Abstract,0,10.1007/s10123-023-00331-7,Aconitum heterophyllum,Alternaria sp.,"""leaf",stem,"root""",Present; Endophytic; Isolated from Aconitum heterophyllum,Kashmir Himalayas,India,Abstract-CSV,DOI_10.1007_s10123-023-00331-7
Relevant,Abstract,Abstract,0,10.1007/s10123-023-00331-7,Aconitum heterophyllum,Penicillium spp.,"""leaf",stem,"root""",Present; Endophytic; Isolated from Aconitum heterophyllum,Kashmir Himalayas,India,Abstract-CSV,DOI_10.1007_s10123-023-00331-7
Relevant,Abstract,Abstract,0,10.1007/s10123-023-00331-7,Aconitum heterophyllum,Aspergillus spp.,"""leaf",stem,"root""",Present; Endophytic; Isolated from Aconitum heterophyllum,Kashmir Himalayas,India,Abstract-CSV,DOI_10.1007_s10123-023-00331-7
Relevant,Abstract,Abstract,0,10.1007/s10123-023-00331-7,Aconitum heterophyllum,Cladosporium spp.,"""leaf",stem,"root""",Present; Endophytic; Isolated from Aconitum heterophyllum,Kashmir Himalayas,India,Abstract-CSV,DOI_10.1007_s10123-023-00331-7
Relevant,Abstract,Abstract,0,10.1007/s10123-023-00331-7,Aconitum heterophyllum,Bjerkandera spp.],"""leaf",stem,"root""",Present; Endophytic; Isolated from Aconitum heterophyllum,Kashmir Himalayas,India,Abstract-CSV,DOI_10.1007_s10123-023-00331-7
Relevant,Abstract,Abstract,0,10.1080/07060669809500391,Prunus persica (Nectarine),Sphaerotheca pannosa,"""leaf","fruit""",Present,Pathogenic; Causative agent of powdery mildew infection,Orchard,Not specified,Abstract-CSV,DOI_10.1080_07060669809500391
Relevant,Abstract,Abstract,0,10.56042/ijnpr.v15i4.10159,Nardostachys jatamansi,Fusarium sp.,leaf,Present,Endophytic,"Isolated from leaves; ""High-altitude region of Uttarakhand","India""",India,Abstract-CSV,DOI_10.56042_ijnpr.v15i4.10159
Relevant,Full-Text,Full-Text,10,10.18805/LR-5207,Vigna radiata (L.) R.Wilczek (Mung Bean),[Fusarium,"""root",leaves,"stem""",Present; Endophytic; Isolated from various parts of India,Not specified,India,Full-Text,DOI_10.18805_LR-5207
Relevant,Full-Text,Full-Text,10,10.18805/LR-5207,Vigna radiata (L.) R.Wilczek (Mung Bean),Chaetomium,"""root",leaves,"stem""",Present; Endophytic; Isolated from various parts of India,Not specified,India,Full-Text,DOI_10.18805_LR-5207
Relevant,Full-Text,Full-Text,10,10.18805/LR-5207,Vigna radiata (L.) R.Wilczek (Mung Bean),Ulocladium],"""root",leaves,"stem""",Present; Endophytic; Isolated from various parts of India,Not specified,India,Full-Text,DOI_10.18805_LR-5207
Relevant,Abstract,Abstract,0,10.1007/s11557-011-0790-x,Salsola collina,Alternaria alternata,stems and leaves,Present,Endophytic,Isolated from surface-sterilized stems and leaves,Desert,China,Abstract-CSV,DOI_10.1007_s11557-011-0790-x
Relevant,Abstract,Abstract,0,10.1007/s11557-011-0790-x,Salsola collina,A. franseriae,stems and leaves,Present,Endophytic,Isolated from surface-sterilized stems and leaves,Desert,China,Abstract-CSV,DOI_10.1007_s11557-011-0790-x
Relevant,Abstract,Abstract,0,10.1007/s11557-011-0790-x,Salsola collina,Fusarium solani,stems and leaves,Present,Endophytic,Isolated from surface-sterilized stems and leaves,Desert,China,Abstract-CSV,DOI_10.1007_s11557-011-0790-x
Relevant,Abstract,Abstract,0,10.1007/s11557-011-0790-x,Salsola collina,Phoma pomorum,stems and leaves,Present,Endophytic,Isolated from surface-sterilized stems and leaves,Desert,China,Abstract-CSV,DOI_10.1007_s11557-011-0790-x
Relevant,Abstract,Abstract,0,10.1007/s11557-011-0790-x,Salsola collina,Phoma sp.,stems and leaves,Present,Endophytic,Isolated from surface-sterilized stems and leaves,Desert,China,Abstract-CSV,DOI_10.1007_s11557-011-0790-x
Relevant,Abstract,Abstract,0,10.1007/s11557-011-0790-x,Suaeda salsa,Alternaria alternata,stems and leaves,Present,Endophytic,Isolated from surface-sterilized stems and leaves,Desert,China,Abstract-CSV,DOI_10.1007_s11557-011-0790-x
Relevant,Abstract,Abstract,0,10.1007/s11557-011-0790-x,Suaeda salsa,A. franseriae,stems and leaves,Present,Endophytic,Isolated from surface-sterilized stems and leaves,Desert,China,Abstract-CSV,DOI_10.1007_s11557-011-0790-x
Relevant,Abstract,Abstract,0,10.1007/s11557-011-0790-x,Suaeda salsa,Fusarium solani,stems and leaves,Present,Endophytic,Isolated from surface-sterilized stems and leaves,Desert,China,Abstract-CSV,DOI_10.1007_s11557-011-0790-x
Relevant,Abstract,Abstract,0,10.1007/s11557-011-0790-x,Suaeda salsa,Phoma pomorum,stems and leaves,Present,Endophytic,Isolated from surface-sterilized stems and leaves,Desert,China,Abstract-CSV,DOI_10.1007_s11557-011-0790-x
Relevant,Abstract,Abstract,0,10.1007/s11557-011-0790-x,Suaeda salsa,Phoma sp.,stems and leaves,Present,Endophytic,Isolated from surface-sterilized stems and leaves,Desert,China,Abstract-CSV,DOI_10.1007_s11557-011-0790-x
Relevant,Abstract,Abstract,0,10.1007/s11557-011-0790-x,Coriospermum declinatum,Alternaria alternata,stems and leaves,Present,Endophytic,Isolated from surface-sterilized stems and leaves,Desert,China,Abstract-CSV,DOI_10.1007_s11557-011-0790-x
Relevant,Abstract,Abstract,0,10.1007/s11557-011-0790-x,Coriospermum declinatum,A. franseriae,stems and leaves,Present,Endophytic,Isolated from surface-sterilized stems and leaves,Desert,China,Abstract-CSV,DOI_10.1007_s11557-011-0790-x
Relevant,Abstract,Abstract,0,10.1007/s11557-011-0790-x,Coriospermum declinatum,Fusarium solani,stems and leaves,Present,Endophytic,Isolated from surface-sterilized stems and leaves,Desert,China,Abstract-CSV,DOI_10.1007_s11557-011-0790-x
Relevant,Abstract,Abstract,0,10.1007/s11557-011-0790-x,Coriospermum declinatum,Phoma pomorum,stems and leaves,Present,Endophytic,Isolated from surface-sterilized stems and leaves,Desert,China,Abstract-CSV,DOI_10.1007_s11557-011-0790-x
Relevant,Abstract,Abstract,0,10.1007/s11557-011-0790-x,Coriospermum declinatum,Phoma sp.,stems and leaves,Present,Endophytic,Isolated from surface-sterilized stems and leaves,Desert,China,Abstract-CSV,DOI_10.1007_s11557-011-0790-x
Relevant,Abstract,Abstract,0,10.1111/j.1439-0434.1988.tb01021.x,Triticum aestivum L (Winter-Wheat),Septoria nodorum (Berk),culms,Present,Endophytic,"""Isolated mainly from culms; number of S. nodorum isolates differed significantly between cultivars in culms and glumes but not in flag leaves""",(Not provided),(Not provided),Abstract-CSV,DOI_10.1111_j.1439-0434.1988.tb01021.x
Relevant,Abstract,Abstract,0,10.1111/nph.15504,Panicum virgatum,35 unspecified endophytic fungi,foliar,Present,Endophytic,Colonized by foliar endophytic fungi affecting plant growth and physiology,<Not specified>,<Not specified>,Abstract-CSV,DOI_10.1111_nph.15504
Relevant,Abstract,Abstract,0,10.1093/femsmc/xtae012,Solanum lycopersicum (Tomato),[Cephalotrichum cylindricum,root,Present,Endophytic,Isolated from salt-adapted shrubs and tested for salinity stress tolerance in tomato seedlings.,Shores of Saline Alkaline Lake Magadi (Not specified as exact biome type),Not provided,Abstract-CSV,DOI_10.1093_femsmc_xtae012
Relevant,Abstract,Abstract,0,10.1093/femsmc/xtae012,Solanum lycopersicum (Tomato),Fusarium equiseti,root,Present,Endophytic,Isolated from salt-adapted shrubs and tested for salinity stress tolerance in tomato seedlings.,Shores of Saline Alkaline Lake Magadi (Not specified as exact biome type),Not provided,Abstract-CSV,DOI_10.1093_femsmc_xtae012
Relevant,Abstract,Abstract,0,10.1093/femsmc/xtae012,Solanum lycopersicum (Tomato),Fusarium falciforme,root,Present,Endophytic,Isolated from salt-adapted shrubs and tested for salinity stress tolerance in tomato seedlings.,Shores of Saline Alkaline Lake Magadi (Not specified as exact biome type),Not provided,Abstract-CSV,DOI_10.1093_femsmc_xtae012
Relevant,Abstract,Abstract,0,10.1093/femsmc/xtae012,Solanum lycopersicum (Tomato),Aspergilus puniceus],root,Present,Endophytic,Isolated from salt-adapted shrubs and tested for salinity stress tolerance in tomato seedlings.,Shores of Saline Alkaline Lake Magadi (Not specified as exact biome type),Not provided,Abstract-CSV,DOI_10.1093_femsmc_xtae012
Relevant,Abstract,Abstract,0,10.1139/W05-122,Nothapodytes foetida,Entrophospora infrequens,inner bark,Present,Endophytic,"""Isolated from the plant growing in Jammu region; India. Produces anticancer alkaloid camptothecin.""",,India,Abstract-CSV,DOI_10.1139_W05-122
Relevant,Abstract,Abstract,0,10.1007/s12010-014-1422-0,Taxus wallichiana var. mairei,Trichoderma sp.,inner root bark,Present,Endophytic,"""Isolated from inner root bark; yields 10-deacetyl baccatin III but not taxol and baccatin III""",(Not provided in text),(Not provided in text),Abstract-CSV,DOI_10.1007_s12010-014-1422-0
Relevant,Full-Text,Full-Text,11,10.1371/journal.pone.0047313,Cephalotaxus harringtonia,Paraconiothyrium variabile,needle,Present,Endophytic,"""Possesses the faculty to inhibit the growth of common phytopathogens; suggesting a role in its host protection. Strong antagonism between the endophyte P. variabile and Fusarium oxysporum observed.""",Not specified,Not specified,Full-Text,DOI_10.1371_journal.pone.0047313
Relevant,Abstract,Abstract,0,10.1111/j.1744-7348.1983.tb02695.x,Malus domestica (Apple-trees),Coriolus versicolor,wood,Present,Pathogenic,"""Introduced deliberately; moves both proximally and distally in trunk irrespective of growing or dormant season. Inhibited when a cationic surfactant is used.""",,,Abstract-CSV,DOI_10.1111_j.1744-7348.1983.tb02695.x
Relevant,Abstract,Abstract,0,10.1016/j.apjtm.2017.06.004,Annona muricata L.,Phomopsis sp.,leaf,Present,Unknown,Isolated from soursop leaf (Annona muricata L.). Molecular identification shows a close relationship with Phomopsis sp.,,,Abstract-CSV,DOI_10.1016_j.apjtm.2017.06.004
Relevant,Full-Text,Full-Text,22,10.1186/s12866-024-03601-0,Eucommia ulmoides,Ascomycota,twigs and leaves,Present,Endophytic,Isolated from plant tissue,Subtropical humid monsoon climate,China,Full-Text,DOI_10.1186_s12866-024-03601-0
Relevant,Full-Text,Full-Text,22,10.1186/s12866-024-03601-0,Eucommia ulmoides,Basidiomycota,twigs and leaves,Present,Endophytic,Isolated from plant tissue,Subtropical humid monsoon climate,China,Full-Text,DOI_10.1186_s12866-024-03601-0
Relevant,Abstract,Abstract,0,10.1016/j.fitote.2018.05.033,Ginkgo biloba L.,Penicillium cataractum SYPF 7131,"""leaves",stems,"roots""","Present; Endophytic; ""Isolated from leaves; stems and roots.""",,,Abstract-CSV,DOI_10.1016_j.fitote.2018.05.033
Relevant,Abstract,Abstract,0,10.1111/mec.15544,Native Hawaiian Dicots (Phylum: Magnoliophyta,Various Foliar Endophytic Fungi,Leaf,Present,Endophytic,"""Living within healthy leaf tissue of native Hawaiian dicots; geographic structuring between distances of 7 and 36 km; significant association with host plant phylogeny; evapotranspiration; NDVI; elevation; and solar radiation.""",Hawaiian Archipelago,Hawaii,Abstract-CSV,DOI_10.1111_mec.15544
Relevant,Abstract,Abstract,0,10.1111/mec.15544,Class: Dicotyledonae),Various Foliar Endophytic Fungi,Leaf,Present,Endophytic,"""Living within healthy leaf tissue of native Hawaiian dicots; geographic structuring between distances of 7 and 36 km; significant association with host plant phylogeny; evapotranspiration; NDVI; elevation; and solar radiation.""",Hawaiian Archipelago,Hawaii,Abstract-CSV,DOI_10.1111_mec.15544
Relevant,Abstract,Abstract,0,10.3390/microorganisms13061326,Oxytropis glabra,Alternaria oxytropis OW7.8,Not specified,Present,Endophytic,Isolated from surface-sterilized roots,Grassland,(Not provided in text),Abstract-CSV,DOI_10.3390_microorganisms13061326
Relevant,Abstract,Abstract,0,10.3390/jof10110754,Oryza sativa (Rice),Clonostachys sp. CC1,Root,Present,Endophytic,"""Isolated from healthy rice roots; demonstrated growth promotion for both rice and Arabidopsis thaliana""",Not specified,Not specified,Abstract-CSV,DOI_10.3390_jof10110754
Relevant,Abstract,Abstract,0,10.3390/jof10110754,Oryza sativa (Rice),Clonostachys sp. CC2,Root,Present,Endophytic,"""Isolated from healthy rice roots; demonstrated growth promotion for both rice and Arabidopsis thaliana""",Not specified,Not specified,Abstract-CSV,DOI_10.3390_jof10110754
Relevant,Abstract,Abstract,0,10.1016/j.ibiod.2015.08.004,Arachis hypogaea (Peanut),Phomopsis liquidambari,Not Specified,Present,Endophytic,Effectively degrades allelochemical cinnamic acid as its sole source of carbon and energy for growth.,Soil,Not Specified,Abstract-CSV,DOI_10.1016_j.ibiod.2015.08.004
Relevant,Abstract,Abstract,0,10.25303/208rjbt054063,Aegle marmelos (L.) Correa,[42 unique fungal taxa mentioned,various plant tissues,Present,Endophytic,"""Isolated from various plant tissues collected over three seasons; exhibited amylolytic; proteolytic; cellulolytic and lipolytic activities""",(Not Provided in Text),(Not Provided in Text),Abstract-CSV,DOI_10.25303_208rjbt054063
Relevant,Abstract,Abstract,0,10.25303/208rjbt054063,Aegle marmelos (L.) Correa,for example: Aspergillus nidulans,various plant tissues,Present,Endophytic,"""Isolated from various plant tissues collected over three seasons; exhibited amylolytic; proteolytic; cellulolytic and lipolytic activities""",(Not Provided in Text),(Not Provided in Text),Abstract-CSV,DOI_10.25303_208rjbt054063
Relevant,Abstract,Abstract,0,10.25303/208rjbt054063,Aegle marmelos (L.) Correa,Cladosporium cladosporioides],various plant tissues,Present,Endophytic,"""Isolated from various plant tissues collected over three seasons; exhibited amylolytic; proteolytic; cellulolytic and lipolytic activities""",(Not Provided in Text),(Not Provided in Text),Abstract-CSV,DOI_10.25303_208rjbt054063
Relevant,Abstract,Abstract,0,10.1016/j.phytochem.2025.114379,Artemisia argyi H. Lev. & Vaniot,Fusarium asiaticum QA-6,stem tissue,Present,Endophytic,Isolated from fresh stem tissue,(Not provided in text),(Not provided in text),Abstract-CSV,DOI_10.1016_j.phytochem.2025.114379
Relevant,Abstract,Abstract,0,10.1007/s10886-013-0364-2,Lolium perenne (Perennial Ryegrass),Neotyphodium lolii,Not specified,Present,Endophytic,Isolated from endophyte-infected grass and detected in aphids and aphid predators.,Not specified,Not specified,Abstract-CSV,DOI_10.1007_s10886-013-0364-2
Relevant,Abstract,Abstract,0,10.1007/s40502-019-00487-3,Oryza sativa (IR-64),Fusarium sp.,Not specified in the text,Present,Endophytic,Isolated from and colonizing rice plants under salinity stress,Agricultural field,Not specified in the text,Abstract-CSV,DOI_10.1007_s40502-019-00487-3
Relevant,Abstract,Abstract,0,10.2478/s11756-020-00598-5,Hordeum vulgare L.,Microdochium bolleyi,"""root","shoot""",Present,Endophytic; Isolated from soil and inoculated to barley plants. Improved plant growth under Cd stress.,,,Abstract-CSV,DOI_10.2478_s11756-020-00598-5
Relevant,Abstract,Abstract,0,10.12905/0380.sydowia74-2022-0303,Cereus jamacaru,Aspergillus flavus URM 6886,Not specified,Present,Endophytic,Isolated from the cactus Cereus jamacaru,Not specified,Not specified,Abstract-CSV,DOI_10.12905_0380.sydowia74-2022-0303
Relevant,Abstract,Abstract,0,10.3390/antibiotics8040231,Leucaena leucocephala,Diaporthe apiculatum strain FPYF 3052,Not specified,Present,Endophytic,"""Identified as endophyte in Leucaena leucocephala; VOCs exhibited inhibitory activity against plant pathogens.""",,,Abstract-CSV,DOI_10.3390_antibiotics8040231
Relevant,Abstract,Abstract,0,10.3390/jof10010077,Fridericia chica,['Aspergillus welwitschiae',branches and leaves,Present,Endophytic,"""Isolated from branches and leaves of F. chica; molecularly identified via multilocus analysis.""",Amazonian,Brazil,Abstract-CSV,DOI_10.3390_jof10010077
Relevant,Abstract,Abstract,0,10.3390/jof10010077,Fridericia chica,'A. sydowii',branches and leaves,Present,Endophytic,"""Isolated from branches and leaves of F. chica; molecularly identified via multilocus analysis.""",Amazonian,Brazil,Abstract-CSV,DOI_10.3390_jof10010077
Relevant,Abstract,Abstract,0,10.3390/jof10010077,Fridericia chica,'Curvularia sp.',branches and leaves,Present,Endophytic,"""Isolated from branches and leaves of F. chica; molecularly identified via multilocus analysis.""",Amazonian,Brazil,Abstract-CSV,DOI_10.3390_jof10010077
Relevant,Abstract,Abstract,0,10.3390/jof10010077,Fridericia chica,'Diaporthe cerradensis',branches and leaves,Present,Endophytic,"""Isolated from branches and leaves of F. chica; molecularly identified via multilocus analysis.""",Amazonian,Brazil,Abstract-CSV,DOI_10.3390_jof10010077
Relevant,Abstract,Abstract,0,10.3390/jof10010077,Fridericia chica,'Hypoxylon investiens',branches and leaves,Present,Endophytic,"""Isolated from branches and leaves of F. chica; molecularly identified via multilocus analysis.""",Amazonian,Brazil,Abstract-CSV,DOI_10.3390_jof10010077
Relevant,Abstract,Abstract,0,10.3390/jof10010077,Fridericia chica,'Neoscytalidium sp.',branches and leaves,Present,Endophytic,"""Isolated from branches and leaves of F. chica; molecularly identified via multilocus analysis.""",Amazonian,Brazil,Abstract-CSV,DOI_10.3390_jof10010077
Relevant,Abstract,Abstract,0,10.3390/jof10010077,Fridericia chica,'Penicillium rubens'],branches and leaves,Present,Endophytic,"""Isolated from branches and leaves of F. chica; molecularly identified via multilocus analysis.""",Amazonian,Brazil,Abstract-CSV,DOI_10.3390_jof10010077
Relevant,Abstract,Abstract,0,10.1007/s004420050478,Brassica oleracea var. capitata (Cabbage),Acremonium alternatum Gams,leaf,Present,Endophytic,"""Isolated from soil; not in direct contact with the larvae""",Not Specified,Not Specified,Abstract-CSV,DOI_10.1007_s004420050478
Relevant,Abstract,Abstract,0,10.1007/s11274-011-0765-8,Rhizophora apiculata,Phomopsis sp.,Not specified,Present,Unknown (Antimicrobial activity implies a potential role),Isolated from Rhizophora apiculata,Mangrove,Not specified,Abstract-CSV,DOI_10.1007_s11274-011-0765-8
Relevant,Full-Text,Full-Text,9,10.1007/s13205-016-0433-7,Centella asiatica,Aspergillus versicolor ENT7,leaf,Present,Endophytic,Isolated from healthy leaf tissues,Not specified,India,Full-Text,DOI_10.1007_s13205-016-0433-7
Relevant,Abstract,Abstract,0,10.1016/j.fgb.2015.03.010,None (endophytic fungus),Pestalotiopsis fici,Not specified,Present,Endophytic,"""The text describes the presence of P. fici; a plant endophytic fungus; within a host plant. The interaction is associated with secondary metabolism and oxidative stress response.""",Not specified,Not specified,Abstract-CSV,DOI_10.1016_j.fgb.2015.03.010
Relevant,Abstract,Abstract,0,10.3390/jof7080675,Nicotiana tabacum (Tobacco),Piriformospora indica,"""root","leaf""",Present,Endophytic; Assisted in alleviating cadmium toxicities in tobacco; increased Cd accumulation in roots but decreased Cd accumulation in leaves; altered subcellular repartition of Cd; enhanced peroxidase (POD) activity and glutathione (GSH) content,Not specified,Not specified,Abstract-CSV,DOI_10.3390_jof7080675
Relevant,Abstract,Abstract,0,10.1111/1758-2229.13110,Oryza sativa (Rice),Phomopsis liquidambaris,Roots,Present,Endophytic,Colonization of rice roots; alteration of plant immunity in response to nitrogen conditions,,,Abstract-CSV,DOI_10.1111_1758-2229.13110
Relevant,Abstract,Abstract,0,10.1017/S0953756297005662,Arundo donax,Alternaria alternata,"""leaves","stems or twigs""",Present,Endophytic; Isolated from plant growing on gypsum soil in central Spain,Gypsum soil,Spain,Abstract-CSV,DOI_10.1017_S0953756297005662
Relevant,Abstract,Abstract,0,10.3390/molecules28093756,Rhizophora mangle,Phomopsis sp. DHS-11,Not specified,Present,Endophytic,Associated endophyte isolated from fermentation broth,Mangrove,China,Abstract-CSV,DOI_10.3390_molecules28093756
Relevant,Abstract,Abstract,0,10.3390/jof4020069,Taxodium distichum,Hypoxylon sp. (BS15),woody tissue,Present,Endophytic,"""Isolated from woody tissue of host plant; modulates VOC production""",,Not specified,Abstract-CSV,DOI_10.3390_jof4020069
Relevant,Abstract,Abstract,0,10.1007/s00425-018-2861-6,Zea mays L.,Piriformospora indica,root,Present,Endophytic,"""Isolated from maize root; exhibits improved stress tolerance in the presence of combined drought and mechanical stresses.""",Not specified,Not specified,Abstract-CSV,DOI_10.1007_s00425-018-2861-6
Relevant,Abstract,Abstract,0,10.1099/ijsem.0.006730,Allium wallichii,Cladosporium spp.,seeds,Present,Endophytic,Isolated from seeds; Not specified in text,"""Southwest of Yunnan","China""",Abstract-CSV,DOI_10.1099_ijsem.0.006730
Relevant,Abstract,Abstract,0,10.1016/j.ejbt.2014.04.012,Dioscorea zingiberensis,Fusarium oxysporum Dzf17,Suspension cell and seedling cultures,Present,Endophytic,Isolated from the host plant for study purposes,Not specified in the text,Not specified in the text,Abstract-CSV,DOI_10.1016_j.ejbt.2014.04.012
Relevant,Abstract,Abstract,0,10.5943/mycosphere/14/1/26,Phytolacca americana,Torula phytolaccae,Not specified,Present,Endophytic,New host record described,Not specified,Uzbekistan,Abstract-CSV,DOI_10.5943_mycosphere_14_1_26
Relevant,Abstract,Abstract,0,10.1016/j.funeco.2021.101114,Vitis vinifera,Fusarium sp.,"""Not specified","likely roots""",Present,"Mutualistic; ""Demonstrated mutualism in field experiment under natural conditions; increased yield and robust development under unfavorable weather conditions; lower gray mold incidence at rates of 80%""",Vineyard,Not specified,Abstract-CSV,DOI_10.1016_j.funeco.2021.101114
Relevant,Abstract,Abstract,0,10.1021/acs.jafc.9b07825,Melia azedarach,Diaporthe eucalyptorum,Not specified,Present,"""Endophytic","Biocontrol Agent (potential)""; Isolated from Melia azedarach",,Not specified,Abstract-CSV,DOI_10.1021_acs.jafc.9b07825
Relevant,Full-Text,Full-Text,10,10.1186/s41938-025-00859-y,Oryza sativa L. (Payo rice variety),[{'name': 'Beauveria bassiana',"""['leaves'",'roots',"'tillers']""","Present; Entomopathogenic; ""Isolated from Payo rice variety; causes mortality and mycosis of Tenebrio molitor larvae.""; ""Tropical Rainforest (Kerinci Regency","Indonesia)""",Indonesia,Full-Text,DOI_10.1186_s41938-025-00859-y
Relevant,Full-Text,Full-Text,10,10.1186/s41938-025-00859-y,Oryza sativa L. (Payo rice variety),'strain': ['PYA31',"""['leaves'",'roots',"'tillers']""","Present; Entomopathogenic; ""Isolated from Payo rice variety; causes mortality and mycosis of Tenebrio molitor larvae.""; ""Tropical Rainforest (Kerinci Regency","Indonesia)""",Indonesia,Full-Text,DOI_10.1186_s41938-025-00859-y
Relevant,Full-Text,Full-Text,10,10.1186/s41938-025-00859-y,Oryza sativa L. (Payo rice variety),'PYB11',"""['leaves'",'roots',"'tillers']""","Present; Entomopathogenic; ""Isolated from Payo rice variety; causes mortality and mycosis of Tenebrio molitor larvae.""; ""Tropical Rainforest (Kerinci Regency","Indonesia)""",Indonesia,Full-Text,DOI_10.1186_s41938-025-00859-y
Relevant,Full-Text,Full-Text,10,10.1186/s41938-025-00859-y,Oryza sativa L. (Payo rice variety),'PYB13',"""['leaves'",'roots',"'tillers']""","Present; Entomopathogenic; ""Isolated from Payo rice variety; causes mortality and mycosis of Tenebrio molitor larvae.""; ""Tropical Rainforest (Kerinci Regency","Indonesia)""",Indonesia,Full-Text,DOI_10.1186_s41938-025-00859-y
Relevant,Full-Text,Full-Text,10,10.1186/s41938-025-00859-y,Oryza sativa L. (Payo rice variety),'PYB23']},"""['leaves'",'roots',"'tillers']""","Present; Entomopathogenic; ""Isolated from Payo rice variety; causes mortality and mycosis of Tenebrio molitor larvae.""; ""Tropical Rainforest (Kerinci Regency","Indonesia)""",Indonesia,Full-Text,DOI_10.1186_s41938-025-00859-y
Relevant,Full-Text,Full-Text,10,10.1186/s41938-025-00859-y,Oryza sativa L. (Payo rice variety),{'name': 'Trichoderma yunnanense',"""['leaves'",'roots',"'tillers']""","Present; Entomopathogenic; ""Isolated from Payo rice variety; causes mortality and mycosis of Tenebrio molitor larvae.""; ""Tropical Rainforest (Kerinci Regency","Indonesia)""",Indonesia,Full-Text,DOI_10.1186_s41938-025-00859-y
Relevant,Full-Text,Full-Text,10,10.1186/s41938-025-00859-y,Oryza sativa L. (Payo rice variety),'strain': ['PYB31']},"""['leaves'",'roots',"'tillers']""","Present; Entomopathogenic; ""Isolated from Payo rice variety; causes mortality and mycosis of Tenebrio molitor larvae.""; ""Tropical Rainforest (Kerinci Regency","Indonesia)""",Indonesia,Full-Text,DOI_10.1186_s41938-025-00859-y
Relevant,Full-Text,Full-Text,10,10.1186/s41938-025-00859-y,Oryza sativa L. (Payo rice variety),{'name': 'Aspergillus flavus',"""['leaves'",'roots',"'tillers']""","Present; Entomopathogenic; ""Isolated from Payo rice variety; causes mortality and mycosis of Tenebrio molitor larvae.""; ""Tropical Rainforest (Kerinci Regency","Indonesia)""",Indonesia,Full-Text,DOI_10.1186_s41938-025-00859-y
Relevant,Full-Text,Full-Text,10,10.1186/s41938-025-00859-y,Oryza sativa L. (Payo rice variety),'strain': ['PYB53']}],"""['leaves'",'roots',"'tillers']""","Present; Entomopathogenic; ""Isolated from Payo rice variety; causes mortality and mycosis of Tenebrio molitor larvae.""; ""Tropical Rainforest (Kerinci Regency","Indonesia)""",Indonesia,Full-Text,DOI_10.1186_s41938-025-00859-y
Relevant,Abstract,Abstract,0,10.1016/j.fitote.2020.104778,Not specified,Phyllosticta sp. WGHL2,Not specified,Present,Endophytic,Associated with the plant host,Not specified,Not specified,Abstract-CSV,DOI_10.1016_j.fitote.2020.104778
Relevant,Abstract,Abstract,0,10.3390/molecules190913775,Alga,Penicilium lapidosum,Not specified,Present,Endophytic,Isolated from an alga,Marine,Not specified,Abstract-CSV,DOI_10.3390_molecules190913775
Relevant,Abstract,Abstract,0,10.1139/b82-102,Mahonia nervosa,Leptothyrium berberidis,leaf,Present,Endophytic,Isolated from evergreen shrubs in western Oregon,Western Oregon forest,United States,Abstract-CSV,DOI_10.1139_b82-102
Relevant,Abstract,Abstract,0,10.1093/jee/21.1.147,Phaseolus vulgaris (Beans),Seed-borne fungi,Seeds,Present,Biocontrol Agent (to seed-borne fungi),"""Used to control seed-borne fungi; not specified as direct plant-fungus interaction""",,,Abstract-CSV,DOI_10.1093_jee_21.1.147
Relevant,Full-Text,Full-Text,7,10.22207/JPAM.16.1.43,Not specified in the text,Endophytic fungi isolated from medicinal plants,Leaves,Present,Endophytic,Isolated from surface-sterilized leaves through imprint technique and serial dilution plate method,Botanical garden areas in Chennai,India,Full-Text,DOI_10.22207_JPAM.16.1.43
Relevant,Abstract,Abstract,0,10.1139/B06-110,Picea mariana (Bt white spruce),['Lophodermium piceae',needle,Present,Endophytic,Isolated from field-grown transgenic Bt white spruce needles and identified using PCR-RFLP,(Not provided in text),(Not provided in text),Abstract-CSV,DOI_10.1139_B06-110
