"code","iso","country","PCR.raw.1961","PCR.raw.1962","PCR.raw.1963","PCR.raw.1964","PCR.raw.1965","PCR.raw.1966","PCR.raw.1967","PCR.raw.1968","PCR.raw.1969","PCR.raw.1970","PCR.raw.1971","PCR.raw.1972","PCR.raw.1973","PCR.raw.1974","PCR.raw.1975","PCR.raw.1976","PCR.raw.1977","PCR.raw.1978","PCR.raw.1979","PCR.raw.1980","PCR.raw.1981","PCR.raw.1982","PCR.raw.1983","PCR.raw.1984","PCR.raw.1985","PCR.raw.1986","PCR.raw.1987","PCR.raw.1988","PCR.raw.1989","PCR.raw.1990","PCR.raw.1991","PCR.raw.1992","PCR.raw.1993","PCR.raw.1994","PCR.raw.1995","PCR.raw.1996","PCR.raw.1997","PCR.raw.1998","PCR.raw.1999","PCR.raw.2000","PCR.raw.2001","PCR.raw.2002","PCR.raw.2003","PCR.raw.2004","PCR.raw.2005","PCR.raw.2006","PCR.raw.2007","PCR.raw.2008","PCR.raw.2009","PCR.raw.2010","PCR.raw.2011","PCR.raw.2012","PCR.raw.2013","PCR.raw.2014","PCR.raw.2015","PCR.raw.2016","PCR.raw.2017","PCR.raw.2018","PCR.raw.2019","PCR.raw.2020","PCR.raw.2021"
188,"CRI","Costa Rica",2.8422,2.999,3.2106,3.3628,3.7336,4.0413,4.169,4.3323,4.3422,4.4115,4.6215,4.7588,5.1808,5.02,5.6078,5.6309,6.2486,6.2654,6.3212,6.3508,6.429,5.7362,6.6424,6.9572,6.7882,6.6486,6.4536,6.9258,7.3889,7.7893,8.1,8.3773,9.1121,9.7555,10.0576,10.4874,10.9635,9.729,10.3425,10.5471,10.3838,9.6976,10.1904,10.3617,10.5377,11.1134,11.4518,11.9943,11.3674,11.3018,11.2285,12.1032,12.295,12.4339,11.6445,12.4466,10.5856,11.3425,9.3573,10.2098,10.3626
384,"CIV","Cote d'Ivoire",1.6413,1.7571,1.8702,1.9777,1.8499,2.0472,2.0157,2.255,2.3157,2.3649,2.4622,2.3727,2.4914,2.5691,2.8099,2.7111,2.6392,2.6887,2.9579,3.1965,3.2647,3.1275,3.0994,3.1629,3.2731,3.2144,3.2924,3.327,3.3555,3.373,3.3234,3.1858,3.072,3.0631,3.263,3.403,3.5159,3.768,3.934,4.2395,3.907,4.147,4.1539,3.8688,4.0212,4.0644,3.7462,3.8129,3.6479,4.027,4.2146,4.6954,4.6556,4.9373,5.0254,4.8669,5.2578,4.8725,4.922,5.0094,4.9595
191,"HRV","Croatia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.3659,9.4336,8.6896,9.2898,10.1437,11.3336,11.2218,10.6259,11.3691,13.4767,14.9593,9.865,14.3953,14.2468,14.8021,13.2124,17.7348,16.5881,14.1953,13.9968,12.8231,15.7411,15.8324,15.1824,18.6334,15.7947,18.3891,18.3791,18.5943,16.3425
192,"CUB","Cuba",12.0957,8.369,6.9985,6.9918,9.7867,8.3315,9.5489,7.8599,6.8616,10.6124,7.1802,5.7102,5.7787,6.5045,6.082,5.9543,6.7643,7.6016,8.1281,6.9921,7.242,7.758,7.368,7.9588,6.9644,6.9079,6.8982,7.0853,7.6019,7.5592,7.2144,5.8264,3.8499,3.8723,3.2754,4.2509,4.0251,3.7175,4.0735,4.8211,4.5951,4.8612,4.3319,4.4413,3.191,2.7967,3.0539,3.2929,3.4369,3.2238,3.4521,4.1716,4.4628,4.3213,4.5815,4.739,4.5366,3.8765,4.096,3.2059,2.5641
531,"CUW","Curacao",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
196,"CYP","Cyprus",2.3386,2.6919,2.7393,2.1398,3.7709,2.6504,3.7615,2.9077,3.5646,2.5935,3.8361,3.4507,1.3349,4.5901,4.4314,5.0551,4.8152,4.8659,4.8308,5.4459,5.053,4.8499,4.1797,5.0326,5.6754,4.9328,5.8241,7.2139,6.7777,5.8464,4.2483,7.7122,8.1748,6.9598,7.7371,7.2538,3.8547,4.7591,6.5653,4.7992,6.4354,7.6152,6.7326,5.8648,4.2538,4.5697,4.3589,3.4728,4.4119,5.1662,5.3945,5.6023,4.7469,3.8001,5.2372,3.2051,4.1328,3.2901,4.6632,4.7651,4.0254
203,"CZE","Czech Republic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.8832,9.8579,10.2521,10.2746,10.4247,10.402,11.2029,10.4005,11.681,12.1351,10.0761,15.6784,13.8479,12.5826,13.8402,15.7061,15.3755,13.9166,16.3013,13.8155,16.1902,18.6498,16.9496,17.929,15.8304,15.5919,15.7939,16.7756,16.6202
180,"COD","Dem. Rep. Congo",1.6358,1.6036,1.5929,1.58,1.5411,1.5917,1.6596,1.7859,1.8376,1.8862,1.8793,1.9077,1.9454,1.9629,1.9999,2.0113,2.0162,1.9521,2.0152,2.0934,2.1231,2.2658,2.3248,2.3813,2.4266,2.4582,2.5031,2.5696,2.6548,2.8147,2.9265,3.0172,3.1218,3.2294,2.6701,2.6732,2.6878,2.738,2.6983,2.6468,2.6027,2.577,2.5972,2.6247,2.6378,2.6687,2.696,2.7044,2.3466,2.8709,2.6953,2.4797,2.4708,2.4248,2.4162,2.392,2.4125,2.4175,2.4256,2.506,2.5993
208,"DNK","Denmark",7.1816,7.9804,7.9506,9.0356,8.8471,8.5885,8.9162,9.7545,9.7097,9.214,10.2798,10.2646,9.8679,10.9672,9.594,8.923,11.1731,11.2128,11.6184,10.9381,11.5451,12.9956,10.8058,16.1101,15.4112,15.629,14.2274,15.5891,17.1115,18.9263,17.7657,13.5062,16.0518,15.8157,17.7593,17.6184,18.4148,18.3016,17.3988,17.9309,17.4372,16.719,17.4184,17.6073,17.0642,16.0011,16.1196,16.9306,18.3245,16.2946,15.6577,17.0215,16.8519,17.9551,19.0917,16.806,19.0496,13.1313,18.0924,17.8629,16.8962
262,"DJI","Djibouti",0.9314,0.9314,0.9314,1.0237,1.2937,1.3803,1.4703,1.5605,1.561,1.6537,1.6537,1.8342,1.9302,2.1226,2.135,2.3295,2.5169,2.7894,4.0776,15.0271,15.4448,16.3988,16.422,18.3096,18.4579,20.279,20.2681,18.4685,20.3641,31.1185,20.6105,21.2267,21.1964,21.5974,20.4351,20.6485,21.2671,21.5479,22.3691,22.9863,23.6682,24.3681,19.4842,21.7092,21.6639,16.5672,17.1228,20.3892,19.8425,16.9596,15.0597,17.5892,16.6515,16.3677,16.62,16.5945,25.7037,32.3344,39.3271,32.2346,37.0656
212,"DMA","Dominica",4.7069,4.1913,4.526,4.5146,5.168,5.1303,4.8847,5.1327,5.302,5.0664,5.0498,4.9844,5.5946,5.6287,5.9417,6.3038,6.5788,7.0475,6.0582,4.2637,4.6928,5.5039,6.2988,6.2775,6.2324,6.6164,6.8129,8.0515,7.5899,7.0826,6.8125,6.643,7.0786,6.4404,6.4529,7.2091,6.9391,6.4518,5.7138,5.1386,4.5563,4.7235,3.8887,4.3418,4.4241,4.7164,4.9063,4.5475,4.3903,4.2045,3.8672,4.018,4.01,4.0572,4.3587,4.5299,4.3658,4.2332,4.2504,4.2508,4.2082
214,"DOM","Dominican Republic",4.7706,4.8298,4.6266,4.7662,3.9266,4.3025,4.2156,3.8576,4.6909,4.9197,5.2973,5.2241,5.2846,5.2529,4.7515,5.1968,5.1191,5.2176,4.8648,4.5109,4.6531,5.1939,5.4119,5.3598,4.7066,4.5028,4.9099,4.864,4.9427,5.0539,5.0637,5.338,5.156,4.6722,4.8855,5.0399,6.3896,5.4629,5.5648,6.8824,9.6938,10.2137,10.3405,9.0315,10.4495,12.4363,12.6862,9.507,13.044,12.9038,13.2055,13.8167,14.5487,17.9151,17.567,19.0475,19.8127,22.5196,24.4536,23.4047,24.4908
218,"ECU","Ecuador",3.0307,3.0243,3.1402,3.462,3.7752,3.7268,3.5985,3.6047,3.465,3.3201,3.2315,2.9748,3.0625,3.3801,3.466,3.2618,3.316,2.9824,3.0968,3.4751,3.5085,3.3522,2.6206,3.1011,3.2856,3.6515,3.7958,3.9885,4.1978,4.1005,3.4309,4.0124,4.3368,4.6728,4.329,4.6433,4.9596,4.3258,5.2275,4.3435,5.3178,5.7418,6.1282,6.6388,6.2631,6.3205,7.2001,6.7853,6.9594,7.4969,7.2098,7.436,6.6207,8.5183,9.0278,7.8399,7.681,7.909,7.8077,8.0105,8.8605
818,"EGY","Egypt",13.1835,17.3292,17.3681,17.8792,16.7751,15.8013,15.1049,16.3241,17.0206,17.0217,17.2604,17.4405,17.4445,16.802,16.8532,17.8777,17.7356,19.7065,21.1327,21.7133,21.4291,21.8216,21.4995,20.9755,21.8034,21.5307,22.1849,22.1461,23.6715,25.7178,27.0287,25.1062,26.1092,24.4999,24.5968,27.1232,27.733,27.0539,26.855,29.3624,28.5604,29.3112,29.0308,29.9894,30.7346,31.3299,31.0933,32.0918,30.1785,27.7023,31.4684,31.8438,31.6958,31.9423,31.6536,31.9422,31.6669,27.7928,30.3179,30.5601,29.97
222,"SLV","El Salvador",4.9819,6.0583,6.6535,6.7691,7.4054,6.6402,5.9788,6.0783,6.6612,7.3771,7.7868,7.7553,8.5712,8.9528,9.5748,8.1588,8.8775,9.6419,8.7839,8.045,7.1031,6.8597,7.2627,7.4648,7.0495,6.2768,5.6578,6.0707,5.9077,6.1073,6.1343,7.2535,6.6844,5.9086,6.5171,7.2472,7.0539,6.8382,7.0954,6.6972,6.6868,6.6548,6.9303,7.2645,7.708,8.2589,7.614,8.6334,8.4668,7.0578,6.9142,7.9797,7.8039,7.632,6.8839,7.9838,7.7786,7.1612,7.4934,7.2628,7.6776
226,"GNQ","Equatorial Guinea",1.6063,1.8584,1.9243,2.0961,2.089,2.2169,2.0985,2.2972,1.9067,2.2323,1.6956,1.1905,1.2627,1.3172,1.1538,1.0023,1.0029,1.0408,1.0656,1.196,1.3252,1.234,1.2608,1.3936,1.3588,1.3924,1.5118,1.51,1.4256,1.6349,1.5285,1.4302,1.3887,1.3963,1.4371,1.454,1.4636,1.417,1.5005,1.5446,1.5443,1.4852,1.5581,1.6193,1.6764,1.6955,1.7835,1.8057,1.8029,1.8633,1.9074,1.9526,1.9506,1.9643,2.1057,2.0216,2.0938,2.1253,2.1547,2.1598,2.1399
232,"ERI","Eritrea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2497,3.0519,2.1232,1.9259,1.9216,4.259,3.1983,1.4674,2.1375,0.9453,1.2267,1.2349,2.6919,2.5823,3.137,0.9743,1.6307,1.6724,2.113,2.0803,2.0612,2.0822,2.0918,2.082,2.0944,2.0892,2.0857,2.089,2.0891
233,"EST","Estonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4205,3.1273,2.4238,2.7181,3.1647,3.1898,2.7927,2.3158,3.7688,3.8163,4.0745,4.5823,5.3528,5.9446,5.3397,7.2364,6.715,7.1759,5.6432,6.4803,7.9554,8.0869,9.2696,11.519,7.2775,9.7252,6.9638,11.8417,12.0528,9.8609
748,"SWZ","Eswatini",3.8705,3.2205,3.5937,3.648,3.9184,4.4983,5.3255,4.7379,5.1597,6.0039,6.5763,6.4632,5.8079,7.5726,7.0811,7.3454,7.0857,6.9294,6.1519,8.0127,11.6959,10.4268,9.6927,10.2939,11.3249,11.6316,10.0139,10.3791,9.5817,10.7688,9.982,8.751,8.6011,8.6945,9.0101,9.9428,10.2736,10.2886,10.8646,9.2089,8.787,9.2818,9.0612,9.5579,10.2809,9.6868,9.0515,9.5614,9.7572,10.1275,10.2819,10.5175,11.1645,11.1288,10.7044,10.0313,10.8776,11.4283,11.1881,11.0061,11.2066
231,"ETH","Ethiopia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.516,2.4932,3.1573,4.1086,4.0865,3.3252,3.6857,3.7075,4.3261,4.1479,3.9227,3.7802,4.474,4.3024,4.3626,4.7615,5.225,5.4355,5.5335,5.914,6.3615,6.7253,7.0907,7.1338,7.4617,7.1897,7.3461,7.4692,7.3308
234,"FRO","Faeroe Islands",21.8211,20.7407,23.316,19.2081,17.9518,20.2759,17.9393,18.6302,15.4142,20.5523,16.3438,14.7735,13.2911,13.3791,12.6379,17.0222,16.3313,16.3313,16.3313,16.3313,16.3313,16.3313,16.7081,16.9594,17.5875,17.5875,17.5875,17.5875,17.5875,18.2156,18.5794,19.0646,18.9497,19.0066,19.0211,18.9986,18.9446,18.8649,18.7661,18.6534,18.5282,18.3655,18.2379,18.1244,18.0238,17.9413,17.5875,17.8884,17.9332,17.7703,18.2997,18.8438,20.1,21.2722,17.4802,19.023,18.5432,18.6049,18.7605,17.7505,17.8125
238,"FLK","Falkland Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
242,"FJI","Fiji",8.7208,9.9934,11.1854,11.0629,9.9123,9.2703,9.271,11.4672,11.0366,11.4722,10.6076,9.7582,10.0088,9.3335,8.7023,8.9568,9.814,9.3332,11.1095,9.998,10.4824,10.5925,7.4863,10.7822,8.2027,10.3284,7.2958,7.126,8.2724,8.4544,6.7679,7.4591,7.3887,7.8698,8.2511,8.2793,8.0629,6.4971,8.4531,8.4934,8.0176,8.4496,7.6432,8.7943,9.3196,10.3352,10.04,9.8843,9.984,5.1411,6.3743,4.709,5.6218,6.2538,6.1134,4.866,5.5428,5.7358,6.164,6.1556,5.644
246,"FIN","Finland",3.1394,2.3917,3.0651,2.7998,3.5401,3.115,3.5104,3.6754,4.0323,4.5428,4.8298,4.8844,4.6125,4.6757,5.6102,6.4824,4.8179,5.1204,5.495,5.8288,4.3111,6.1025,7.0289,6.5624,6.5705,6.5618,4.0614,5.5149,7.1415,7.8811,6.2991,5.1602,6.3536,6.2678,6.6973,7.2206,7.5094,5.3472,5.7084,7.625,6.998,7.4273,7.0227,6.6858,7.5153,7.0078,7.4698,7.4566,7.7384,5.8209,6.79,6.4869,7.2947,7.3726,6.6768,6.5151,6.239,5.1545,7.238,6.2619,4.9697
250,"FRA","France",5.1846,6.1753,6.105,6.4036,7.0582,6.4579,7.6929,8.1818,8.086,7.9075,9.1411,9.7214,10.3457,9.8774,8.7549,8.2614,9.5095,10.7079,10.6087,11.6847,11.4152,12.0952,11.3647,13.9646,13.6339,12.5042,13.9642,15.0001,15.2525,15.442,15.9356,15.8483,14.6421,14.3198,14.3667,16.0342,16.5412,17.5082,16.9295,16.4703,14.8527,17.0674,14.237,17.4278,16.3082,15.548,15.1594,17.1302,17.7363,16.752,16.5936,17.1018,16.5839,18.1345,18.0399,14.4137,17.7603,16.2852,17.4987,14.4775,16.6934
258,"PYF","French Polynesia",18.6746,21.5721,20.9272,20.3109,17.9246,17.8601,16.259,15.53,21.3579,19.6515,18.2775,16.2167,12.6925,11.286,18.1018,16.0292,12.7621,11.6648,12.6463,16.796,14.0881,16.2753,10.3513,7.869,12.327,12.4135,13.5343,11.0383,10.7174,12.4326,10.1319,10.2253,10.1642,10.2532,11.0727,10.5809,10.4014,7.6292,8.2885,9.7,9.1303,9.6156,9.4169,8.9175,9.9903,10.4409,10.4531,9.8836,8.8,9.2639,9.1553,9.1444,8.9536,9.0498,8.6355,9.05,8.7085,8.4881,8.4891,8.1914,8.1821
266,"GAB","Gabon",1.6219,1.4789,1.3152,1.2018,1.1175,1.0648,1.0231,1.0205,0.9433,0.9516,0.9082,0.8735,0.8378,0.8323,0.8126,0.769,0.8171,0.8511,0.9119,0.9701,0.9635,0.9805,1.0143,1.0215,1.0483,1.1621,1.2151,1.2698,1.2316,1.2719,1.3442,1.3044,1.2927,1.3117,1.3135,1.3414,1.327,1.397,1.3746,1.4756,1.4305,1.4606,1.491,1.4733,1.5131,1.5194,1.5725,1.6589,1.6819,1.7505,1.8566,1.9031,1.9837,2.0259,2.0492,2.0613,2.118,2.1123,2.1263,2.142,2.162
270,"GMB","Gambia",5.836,5.9716,5.6099,5.7579,6.1484,6.3843,5.7161,6.3159,5.8045,6.036,6.2322,5.3358,5.933,4.417,4.3753,4.211,3.1851,4.1306,2.6617,3.0942,4.1546,4.5407,3.7477,4.3683,4.3748,4.5235,4.3279,3.7901,4.8231,3.4503,3.816,3.6713,4.2642,3.8455,3.6511,3.1231,3.4353,3.23,4.553,4.9973,5.3378,3.2008,4.2667,4.923,4.1979,4.2199,2.8397,3.4879,3.707,4.0364,2.2578,2.8757,2.6353,2.1412,2.4174,2.0627,1.7127,1.0253,1.1936,1.3049,1.2617
268,"GEO","Georgia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4922,2.1685,2.3889,2.6749,2.9536,3.9315,2.8865,3.6721,2.1206,3.3473,3.003,3.4158,5.8439,6.0896,2.8551,3.7822,3.7602,3.2949,2.4878,4.0558,3.8372,4.4808,3.9086,3.8706,4.5776,3.4309,4.4243,4.3759,4.8404,5.0664
276,"DEU","Germany",7.8821,9.5916,9.8303,9.9475,9.1045,9.3711,11.1906,11.3924,10.4785,10.3491,11.4885,11.69,11.9711,12.9335,11.7717,10.6777,12.1267,13.022,12.4765,12.5193,12.5756,13.5174,12.4463,14.6391,14.7601,14.7413,14.3515,14.8322,14.8379,15.0264,16.1124,14.8591,15.1072,14.8913,16.0817,16.3714,17.8003,18.0447,18.7021,18.6336,19.9692,17.8714,16.2865,21.0595,19.1763,18.3196,17.6572,20.1166,20.8455,18.7508,17.3973,18.7998,19.746,21.83,19.9285,19.0381,19.2919,16.0446,17.7889,18.1099,17.981
288,"GHA","Ghana",2.3647,2.3686,2.3642,2.6893,2.3792,2.5808,2.7448,2.596,2.7253,3.1455,3.2242,2.9142,3.029,3.4357,2.9886,2.6621,2.309,2.1729,2.463,2.3808,2.5377,2.1568,2.0363,2.6437,2.3957,2.5571,2.6336,2.7473,2.9834,2.3022,3.4259,3.3411,3.7201,3.3913,3.7323,3.7813,3.3702,3.6546,3.6965,3.685,3.6922,4.2714,4.3288,4.3701,4.4269,4.4978,4.037,4.7414,5.1504,5.2194,5.3837,5.6717,5.5752,5.6774,5.6037,5.6091,5.9773,6.2216,6.4408,6.6401,6.7656
300,"GRC","Greece",7.4201,5.4058,6.5161,6.1453,6.7414,7.085,7.5083,6.0613,6.4064,7.5419,7.5142,8.1455,7.7951,8.6574,9.2143,8.8548,8.3877,9.5766,8.8805,11.0822,10.8212,11.2773,10.0113,10.544,11.1846,11.2334,11.0887,12.1205,12.8909,9.7084,13.1992,12.5255,12.5319,14.1858,14.5102,14.2543,14.4347,14.8757,14.8484,15.4906,15.263,15.8683,13.64,14.8189,15.645,14.2308,13.775,14.2237,14.1754,13.6362,13.8772,14.3686,12.7538,15.0011,16.2485,15.273,15.7681,14.7395,15.9599,15.7091,14.5848
304,"GRL","Greenland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
308,"GRD","Grenada",3.0214,3.115,3.3378,3.151,3.4147,3.4557,3.8144,3.7976,3.8323,3.5609,3.4401,3.407,3.2525,2.8297,3.0254,3.3191,3.238,3.7895,3.8592,3.9862,4.1935,3.8692,3.7266,4.0259,4.3179,4.1452,5.0677,4.7771,4.7315,4.9313,5.2641,5.1327,5.3155,5.3122,5.6834,5.0963,4.9387,4.7361,4.2167,4.3287,3.6882,3.8779,3.9665,4.0228,4.3625,4.6291,5.0092,5.0306,4.335,5.4506,5.6578,6.9616,7.0416,7.3672,7.3182,7.288,6.8485,6.8096,6.2926,5.9854,6.2611
320,"GTM","Guatemala",2.4749,2.9344,3.5423,3.9522,4.1245,4.1909,3.763,4.3869,4.5479,4.4619,4.2547,4.9304,5.3816,5.9457,6.0183,5.9061,6.4497,6.747,6.9956,6.8649,6.471,5.8339,5.3117,5.3368,5.6566,5.7757,5.4049,5.8579,5.8904,6.6303,6.6985,7.1644,6.4119,6.0072,6.3397,6.4515,6.1594,6.356,5.9808,5.7567,6.0009,6.0077,5.8506,6.771,7.1257,6.9874,7.3871,7.5271,7.9194,8.1373,8.177,8.9181,9.528,10.2037,10.0167,10.1415,9.1729,9.4403,9.1997,9.1035,9.1393
831,"GGY","Guernsey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
324,"GIN","Guinea",0.8014,0.8175,0.7598,0.8246,0.7958,0.8538,0.8978,0.9088,0.9178,0.9509,0.9888,0.9777,0.9872,1.008,1.0319,1.0873,1.1103,1.1265,1.1766,1.2066,1.2359,1.2587,1.2819,1.3643,1.4088,1.4501,1.4712,1.5112,1.6048,1.684,1.8073,1.9002,1.9887,2.0679,2.1503,2.2115,2.3267,2.4379,2.5641,2.7479,2.6628,2.7438,2.8952,3.0586,3.2364,3.3836,3.5071,3.5683,3.4157,3.6247,3.7817,3.8615,3.919,3.9534,4.1293,4.2805,4.5153,4.7174,4.7681,4.948,5.1157
624,"GNB","Guinea-Bissau",2.4785,2.5072,2.3501,2.2708,2.0671,2.0447,1.9401,1.888,1.7886,1.7965,1.6364,1.7583,1.5956,1.7589,2.0898,2.3739,2.1424,2.0502,2.1115,2.2773,2.6598,2.9106,2.4161,2.6806,2.5747,3.0389,2.9537,2.9653,2.8153,2.8892,2.7701,2.8047,2.7724,2.7543,2.8925,2.8087,2.6018,2.7146,2.6277,2.6384,2.7272,2.7849,2.7664,2.9474,3.2598,3.398,3.1949,3.7148,3.5912,3.6989,3.502,3.7394,3.8618,3.3977,3.7114,3.8405,3.8533,3.9906,4.2011,4.4429,4.6435
328,"GUY","Guyana",5.2614,5.3334,4.6693,5.4031,5.2645,5.4496,5.3105,4.825,5.5069,5.1555,5.4763,4.7625,4.517,5.8023,5.5494,4.926,5.603,5.9481,5.2103,5.4453,5.6502,5.5977,4.8812,5.0213,4.7433,4.9202,4.479,4.2078,3.9442,3.4892,4.3393,4.675,5.0201,5.413,6.5134,6.7796,6.949,6.1279,6.6711,5.6396,6.1787,6.0659,6.4923,6.4119,5.3658,5.8537,5.6955,5.7853,6.1108,6.1409,6.8515,6.7224,7.708,6.6953,9.4537,7.3618,8.7521,8.3509,8.6414,8.8095,8.2429
332,"HTI","Haiti",3.2957,3.2734,3.3278,3.346,3.3782,3.3662,3.4058,3.3159,3.4602,3.5202,3.6117,4.1209,3.8257,3.8657,3.8314,3.884,3.6725,3.7798,4.017,3.973,3.9732,3.9567,4.0866,4.0589,4.0525,4.0372,3.9284,3.896,3.8186,3.4426,3.5059,3.6339,3.4259,3.2805,3.1266,3.2054,3.1696,2.8185,3.0229,2.8727,2.754,2.7185,2.7961,2.982,2.9134,2.9616,3.5282,3.2421,3.6766,3.6962,3.7095,3.4466,3.9543,3.7772,3.119,2.845,2.9863,2.8321,3.0093,2.8615,2.9107
336,"VAT","Holy See",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
340,"HND","Honduras",1.3628,1.4643,1.5074,1.7057,1.7623,1.8678,1.9117,1.9329,1.9677,1.8648,1.8893,1.9092,1.8679,1.8584,1.7557,1.786,1.9806,2.196,2.0839,2.2054,2.3713,2.1974,2.2925,2.3714,2.2288,2.2659,2.3253,2.263,2.4455,2.6463,2.5919,2.538,2.3892,2.4854,2.6204,2.8706,3.0032,2.7846,2.5588,3.6183,3.6462,3.7019,4.1291,4.117,4.2717,4.4062,4.9551,4.9128,5.2012,4.4939,4.5743,4.7503,4.7714,4.626,4.8894,5.1041,5.4525,5.5865,5.2739,5.1301,4.9074
344,"HKG","Hong Kong",12.7056,10.4704,8.4904,7.2527,9.3661,11.3957,12.0761,11.6769,12.1468,12.1956,12.4389,10.7037,10.0947,10.022,10.6789,11.6114,12.5772,12.867,13.6232,14.276,12.5074,11.9029,12.1013,11.6841,10.8823,11.3749,10.3901,10.526,12.8341,11.7008,11.5541,10.7162,10.3625,10.7001,10.794,9.3437,10.3264,8.713,7.4355,5.7986,4.4572,4.3086,4.3075,4.3819,4.3769,5.3365,5.2806,5.3268,5.2956,5.869,5.9465,6.9545,6.8497,6.7064,6.5291,6.8556,6.7336,6.8157,6.7237,8.9703,8.9673
348,"HUN","Hungary",4.7968,5.2752,5.204,5.3913,5.7089,5.9791,6.1922,6.3473,7.338,5.8521,7.3319,7.8893,8.4767,9.2606,9.0065,8.7763,9.5449,10.3301,9.1732,10.9864,10.2822,11.7537,10.9513,12.6133,11.87,11.6845,11.5844,12.5684,12.9232,10.9321,12.8499,9.0531,7.6144,10.0156,9.8372,9.8845,11.3893,10.7955,9.7923,8.7724,12.5359,10.1882,8.0671,14.4821,13.6199,12.502,9.4382,14.7984,12.1461,11.2132,12.6779,10.2986,13.1934,15.716,13.9264,16.517,14.8515,15.223,15.5074,16.3734,14.6047
352,"ISL","Iceland",0.0893,0.0694,0.0628,0.0597,0.0869,0.0266,0.0469,0.0404,0.0328,0.0386,0.0782,0.0587,0.0419,0.0891,0.0429,0.047,0.0511,0.085,0.041,0.0969,0.0697,0.0898,0.0336,0.121,0.0818,0.1035,0.1124,0.0659,0.0525,0.0546,0.0944,0.0715,0.0601,0.0738,0.0524,0.077,0.0613,0.0823,0.0666,0.0722,0.0829,0.0661,0.0563,0.0868,0.0978,0.1015,0.0987,0.0967,0.0788,0.0985,0.0658,0.0831,0.0556,0.0716,0.2091,0.2952,0.2888,0.1677,0.2986,0.2747,0.2754
