"relevance","doc_type_ai","doc_type_pages","page_count","doi","plant_host","fungal_taxon","tissue","presence_absence","primary_guild","interaction_notes","biome","country","data_source","source_file","doc_type_ai_clean","paper_id","interaction_id","fungal_taxon_raw","fungal_taxon_resolved","fungal_taxon_status","fungal_taxon_resolution_method","fungal_taxon_confidence","fungal_taxon_accepted_ids","plant_host_raw","plant_host_resolved","plant_host_status","plant_host_resolution_method","plant_host_confidence","plant_host_accepted_ids","publication_year","filter_reason"
"Relevant","full-text","full-text","13.0","10.1371/journal.pone.0078248","quercus (oak)","lactarius (basidiomycete","root","present","mycorrhiza","favored the dominant oak species.","forest","JPN","full-text","doi_10.1371_journal.pone.0078248","Full-Text","doi:10.1371/journal.pone.0078248","int_1a452777066bf5d4","lactarius (basidiomycete","","Unresolved","no_match","0.0","","quercus (oak)","quercus","Resolved","exact_accepted","1.0","2877951","2013.0","guild"
"Relevant","full-text","full-text","13.0","10.1371/journal.pone.0078248","quercus (oak)","ectomycorrhizal)","root","present","mycorrhiza","favored the dominant oak species.","forest","JPN","full-text","doi_10.1371_journal.pone.0078248","Full-Text","doi:10.1371/journal.pone.0078248","int_83d940eafee41d99","ectomycorrhizal)","","Unresolved","no_match","0.0","","quercus (oak)","quercus","Resolved","exact_accepted","1.0","2877951","2013.0","guild"
"Relevant","abstract","abstract","0.0","10.1007/s13199-015-0320-8","lycopodiopsida (two species unspecified)","arbuscular mycorrhizal fungi","root","present","mycorrhiza","""arbuscules; hyphae; and vesicles present in 11 species; paris-type of amf morphology dominant""","forest","MEX","abstract-csv","doi_10.1007_s13199-015-0320-8","Abstract","doi:10.1007/s13199-015-0320-8","int_92ef7e9dcab14d5d","arbuscular mycorrhizal fungi","glomeromycota","Resolved","alias_exact_accepted","1.0","18","lycopodiopsida (two species unspecified)","lycopodiopsida","Resolved","exact_accepted","1.0","245","2015.0","guild"
"Relevant","full-text","full-text","8.0","10.1186/s13568-016-0312-y","erica demissa","leohumicola sp.","root","present","mycorrhiza","mycorrhizal""; isolated from surface-sterilized roots; ""temperate","forest","ZAF","full-text","doi_10.1186_s13568-016-0312-y","Full-Text","doi:10.1186/s13568-016-0312-y","int_937e4753af440a08","leohumicola sp.","leohumicola","Resolved","exact_accepted","1.0","2577742","erica demissa","erica demissa","Resolved","exact_accepted","1.0","8071428","2017.0","guild"
"Relevant","full-text","full-text","8.0","10.1186/s13568-016-0312-y","erica demissa","hyloscyphaceae","root","present","mycorrhiza","mycorrhizal""; isolated from surface-sterilized roots; ""temperate","forest","ZAF","full-text","doi_10.1186_s13568-016-0312-y","Full-Text","doi:10.1186/s13568-016-0312-y","int_4c14f56f28230227","hyloscyphaceae","","Unresolved","no_match","0.0","","erica demissa","erica demissa","Resolved","exact_accepted","1.0","8071428","2017.0","guild"
"Relevant","full-text","full-text","8.0","10.1186/s13568-016-0312-y","erica demissa","leotiomycetes","root","present","mycorrhiza","mycorrhizal""; isolated from surface-sterilized roots; ""temperate","forest","ZAF","full-text","doi_10.1186_s13568-016-0312-y","Full-Text","doi:10.1186/s13568-016-0312-y","int_46d69cf6d1cc7746","leotiomycetes","leotiomycetes","Resolved","exact_accepted","1.0","179","erica demissa","erica demissa","Resolved","exact_accepted","1.0","8071428","2017.0","guild"
"Relevant","full-text","full-text","8.0","10.1186/s13568-016-0312-y","erica chamissonis","leohumicola sp.","root","present","mycorrhiza","mycorrhizal""; isolated from surface-sterilized roots; ""temperate","forest","ZAF","full-text","doi_10.1186_s13568-016-0312-y","Full-Text","doi:10.1186/s13568-016-0312-y","int_fea26fcc52576ef4","leohumicola sp.","leohumicola","Resolved","exact_accepted","1.0","2577742","erica chamissonis","erica chamissonis","Resolved","exact_accepted","1.0","5682371","2017.0","guild"
"Relevant","full-text","full-text","8.0","10.1186/s13568-016-0312-y","erica chamissonis","hyloscyphaceae","root","present","mycorrhiza","mycorrhizal""; isolated from surface-sterilized roots; ""temperate","forest","ZAF","full-text","doi_10.1186_s13568-016-0312-y","Full-Text","doi:10.1186/s13568-016-0312-y","int_388802cc6ee087a5","hyloscyphaceae","","Unresolved","no_match","0.0","","erica chamissonis","erica chamissonis","Resolved","exact_accepted","1.0","5682371","2017.0","guild"
"Relevant","full-text","full-text","8.0","10.1186/s13568-016-0312-y","erica chamissonis","leotiomycetes","root","present","mycorrhiza","mycorrhizal""; isolated from surface-sterilized roots; ""temperate","forest","ZAF","full-text","doi_10.1186_s13568-016-0312-y","Full-Text","doi:10.1186/s13568-016-0312-y","int_afc0f4b09c5030e1","leotiomycetes","leotiomycetes","Resolved","exact_accepted","1.0","179","erica chamissonis","erica chamissonis","Resolved","exact_accepted","1.0","5682371","2017.0","guild"
"Relevant","abstract","abstract","0.0","10.1007/s13199-016-0427-6","combretum lanceolatum pohl ex eichler","c. perangustum-95c","root","present","mycorrhiza","mycorrhizal""; ""isolated from disinfected root fragments; microsclerotia and melanized hyphae present in c. lanceolatum; co-colonization with mycorrhizal fungi observed.""","","","abstract-csv","doi_10.1007_s13199-016-0427-6","Abstract","doi:10.1007/s13199-016-0427-6","int_ea3419d039acb0ae","c. perangustum-95c","","Unresolved","no_match","0.0","","combretum lanceolatum pohl ex eichler","combretum lanceolatum","Resolved","exact_accepted","1.0","7941219","2017.0","guild"
"Relevant","abstract","abstract","0.0","10.1007/s13199-016-0427-6","combretum lanceolatum pohl ex eichler","m. phaseolina-46c","root","present","mycorrhiza","mycorrhizal""; ""isolated from disinfected root fragments; microsclerotia and melanized hyphae present in c. lanceolatum; co-colonization with mycorrhizal fungi observed.""","","","abstract-csv","doi_10.1007_s13199-016-0427-6","Abstract","doi:10.1007/s13199-016-0427-6","int_91921d56cfd372df","m. phaseolina-46c","","Unresolved","no_match","0.0","","combretum lanceolatum pohl ex eichler","combretum lanceolatum","Resolved","exact_accepted","1.0","7941219","2017.0","guild"
"Relevant","abstract","abstract","0.0","10.1007/s13199-016-0427-6","combretum lanceolatum pohl ex eichler","d. phaseolorum-92c","root","present","mycorrhiza","mycorrhizal""; ""isolated from disinfected root fragments; microsclerotia and melanized hyphae present in c. lanceolatum; co-colonization with mycorrhizal fungi observed.""","","","abstract-csv","doi_10.1007_s13199-016-0427-6","Abstract","doi:10.1007/s13199-016-0427-6","int_f24003a1c8e581bc","d. phaseolorum-92c","","Unresolved","no_match","0.0","","combretum lanceolatum pohl ex eichler","combretum lanceolatum","Resolved","exact_accepted","1.0","7941219","2017.0","guild"
"Relevant","abstract","abstract","0.0","10.48130/grares-0025-0004","hordeum brevisubulatum (wild barley)","epichlo? euml; bromicola","","present","mycorrhiza","mycorrhizal (for glomus claroideum and glomus mosseae)""; ""simultaneous symbiosis; salt stress; growth inhibition; antagonistic interaction between e. bromicola and g. mosseae""","","","abstract-csv","doi_10.48130_grares-0025-0004","Abstract","doi:10.48130/grares-0025-0004","int_de900faae246e221","epichlo? euml; bromicola","epichloe","Partially_Resolved","alias_exact_accepted; no_match","0.5","7903719","hordeum brevisubulatum (wild barley)","hordeum brevisubulatum","Resolved","exact_accepted","1.0","4149617","2025.0","guild"
"Relevant","abstract","abstract","0.0","10.48130/grares-0025-0004","hordeum brevisubulatum (wild barley)","glomus claroideum","","present","mycorrhiza","mycorrhizal (for glomus claroideum and glomus mosseae)""; ""simultaneous symbiosis; salt stress; growth inhibition; antagonistic interaction between e. bromicola and g. mosseae""","","","abstract-csv","doi_10.48130_grares-0025-0004","Abstract","doi:10.48130/grares-0025-0004","int_75a2322219f79d79","glomus claroideum","entrophospora claroidea","Resolved","synonym_map","0.95","12203831","hordeum brevisubulatum (wild barley)","hordeum brevisubulatum","Resolved","exact_accepted","1.0","4149617","2025.0","guild"
"Relevant","abstract","abstract","0.0","10.48130/grares-0025-0004","hordeum brevisubulatum (wild barley)","glomus mosseae","","present","mycorrhiza","mycorrhizal (for glomus claroideum and glomus mosseae)""; ""simultaneous symbiosis; salt stress; growth inhibition; antagonistic interaction between e. bromicola and g. mosseae""","","","abstract-csv","doi_10.48130_grares-0025-0004","Abstract","doi:10.48130/grares-0025-0004","int_bad982bf899830fb","glomus mosseae","funneliformis mosseae","Resolved","synonym_map","0.95","7578300","hordeum brevisubulatum (wild barley)","hordeum brevisubulatum","Resolved","exact_accepted","1.0","4149617","2025.0","guild"
"Relevant","abstract","abstract","0.0","10.3389/fpls.2022.993301","populus trichocarpa x populus maximowiczii","geopora arenicola","root","present","mycorrhiza","inoculated commercial mycorrhizal inoculum made of a mix of species. dominance of geopora arenicola and mortierella elongata observed.; not specified","""france (pierrelaye","FRA","abstract-csv","doi_10.3389_fpls.2022.993301","Abstract","doi:10.3389/fpls.2022.993301","int_80ab3e524c694ba5","geopora arenicola","geopora arenicola","Resolved","exact_accepted","1.0","5258616","populus trichocarpa x populus maximowiczii","populus trichocarpa","Resolved","exact_accepted","1.0","6362904","2022.0","guild"
"Relevant","abstract","abstract","0.0","10.3389/fpls.2022.993301","populus trichocarpa x populus maximowiczii","mortierella elongata","root","present","mycorrhiza","inoculated commercial mycorrhizal inoculum made of a mix of species. dominance of geopora arenicola and mortierella elongata observed.; not specified","""france (pierrelaye","FRA","abstract-csv","doi_10.3389_fpls.2022.993301","Abstract","doi:10.3389/fpls.2022.993301","int_af76c2214a94d3bf","mortierella elongata","linnemannia elongata","Resolved","synonym_map","0.95","12168313","populus trichocarpa x populus maximowiczii","populus trichocarpa","Resolved","exact_accepted","1.0","6362904","2022.0","guild"
"Relevant","abstract","abstract","0.0","10.1007/s00572-025-01215-6","populus trichocarpa","arbuscular mycorrhizal fungi","root","present","mycorrhiza","associated with as both arbuscular and ectomycorrhizal fungi","","","abstract-csv","doi_10.1007_s00572-025-01215-6","Abstract","doi:10.1007/s00572-025-01215-6","int_cdc55f5f44e96c3b","arbuscular mycorrhizal fungi","glomeromycota","Resolved","alias_exact_accepted","1.0","18","populus trichocarpa","populus trichocarpa","Resolved","exact_accepted","1.0","6362904","2025.0","guild"
"Relevant","abstract","abstract","0.0","10.1007/s005720050190","pinus contorta","phialocephala fortinii","root","present","mycorrhiza","""inoculated plants absorbed significantly more p than non-inoculated plants; enhanced p uptake and increased pine growth and n uptake in the treatment combining p. fortinii and n appear as typical mycorrhizal responses.""","glacier forefront","","abstract-csv","doi_10.1007_s005720050190","Abstract","doi:10.1007/s005720050190","int_837115222426273b","phialocephala fortinii","phialocephala fortinii","Resolved","exact_accepted","1.0","3484868","pinus contorta","pinus contorta","Resolved","exact_accepted","1.0","5285750","1998.0","guild"
"Relevant","abstract","abstract","0.0","10.1016/s0007-1536(78)80144-2","trifolium repens","vesicular-arbuscular mycorrhiza","root","present","mycorrhiza","""soil drenches of benomyl and thiophanate-methyl prevent formation of mycorrhiza in clover roots; and suspension of fungal inoculum in these fungicides reduces infectivity.""","","","abstract-csv","doi_10.1016_s0007-1536(78)80144-2","Abstract","doi:10.1016/s0007-1536(78)80144-2","int_e513904572bb494e","vesicular-arbuscular mycorrhiza","","Unresolved","no_match","0.0","","trifolium repens","trifolium repens","Resolved","exact_accepted","1.0","5358748","1978.0","guild"
"Relevant","abstract","abstract","0.0","10.1021/acs.jafc.4c05009","arachis hypogaea (peanut)","phomopsis liquidambaris","root","present","mycorrhiza","mycorrhizal""; ""improves drought resistance by enriching the amf genus claroideoglomus in the rhizosphere; potentially through promoting isoformononetin and salicylic acid synthesis in rhizodeposits.""","","","abstract-csv","doi_10.1021_acs.jafc.4c05009","Abstract","doi:10.1021/acs.jafc.4c05009","int_1ea82b8a286c0c2f","phomopsis liquidambaris","diaporthe liquidambaris","Resolved","synonym_map","0.95","9735353","arachis hypogaea (peanut)","arachis hypogaea","Resolved","exact_accepted","1.0","5353770","2024.0","guild"
"Relevant","abstract","abstract","0.0","10.1021/acs.jafc.4c05009","arachis hypogaea (peanut)","phomopsis liquidambaris","rhizosphere","present","mycorrhiza","mycorrhizal""; ""improves drought resistance by enriching the amf genus claroideoglomus in the rhizosphere; potentially through promoting isoformononetin and salicylic acid synthesis in rhizodeposits.""","","","abstract-csv","doi_10.1021_acs.jafc.4c05009","Abstract","doi:10.1021/acs.jafc.4c05009","int_1ea82b8a286c0c2f","phomopsis liquidambaris","diaporthe liquidambaris","Resolved","synonym_map","0.95","9735353","arachis hypogaea (peanut)","arachis hypogaea","Resolved","exact_accepted","1.0","5353770","2024.0","guild"
"Relevant","abstract","abstract","0.0","10.1016/0038-0717(87)90131-3","allium porrum l.","glomus intraradices schenck and smith","root","present","mycorrhiza","""foliar application of fosetyl-al increased colonization; number of intramatrical vesicles and plant growth. soil drenches of metalaxyl reduced mycorrhizal infection and growth.""","","","abstract-csv","doi_10.1016_0038-0717(87)90131-3","Abstract","doi:10.1016/0038-0717(87)90131-3","int_67addd75c4eda881","glomus intraradices schenck and smith","rhizophagus intraradices","Partially_Resolved","no_match; synonym_map","0.47","8003630","allium porrum l.","allium ampeloprasum","Resolved","synonym_map","0.95","2856037","1987.0","guild"
"Relevant","abstract","abstract","0.0","10.1016/0038-0717(87)90131-3","allium porrum l.","glomus intraradices schenck and smith","foliar","present","mycorrhiza","""foliar application of fosetyl-al increased colonization; number of intramatrical vesicles and plant growth. soil drenches of metalaxyl reduced mycorrhizal infection and growth.""","","","abstract-csv","doi_10.1016_0038-0717(87)90131-3","Abstract","doi:10.1016/0038-0717(87)90131-3","int_67addd75c4eda881","glomus intraradices schenck and smith","rhizophagus intraradices","Partially_Resolved","no_match; synonym_map","0.47","8003630","allium porrum l.","allium ampeloprasum","Resolved","synonym_map","0.95","2856037","1987.0","guild"
"Relevant","abstract","abstract","0.0","10.1007/s00572-013-0533-8","multiple plant species","arbuscular-mycorrhizal fungi","root","present","mycorrhiza","endophytic""; in planta detection via fluorescence in situ hybridization (fish) method","","","abstract-csv","doi_10.1007_s00572-013-0533-8","Abstract","doi:10.1007/s00572-013-0533-8","int_d575e0d20866eb3d","arbuscular-mycorrhizal fungi","","Unresolved","no_match","0.0","","multiple plant species","","Unresolved","no_match","0.0","","2014.0","guild"
"Relevant","abstract","abstract","0.0","10.1007/s00572-013-0533-8","multiple plant species","ectomycorrhiza fungi","root","present","mycorrhiza","endophytic""; in planta detection via fluorescence in situ hybridization (fish) method","","","abstract-csv","doi_10.1007_s00572-013-0533-8","Abstract","doi:10.1007/s00572-013-0533-8","int_41506cfba2f31825","ectomycorrhiza fungi","","Unresolved","no_match","0.0","","multiple plant species","","Unresolved","no_match","0.0","","2014.0","guild"
"Relevant","abstract","abstract","0.0","10.1016/j.rhisph.2019.01.001","(not specifically mentioned in text","dark septate endophytes","root","present","mycorrhiza","""isolated from root-microbiome of mountain ecosystems; dominance with increasing altitude; causing shift in colonization of arbuscular mycorrhizal fungi (amf)""; mountain ecosystem","mountain","but likely multiple due to mention of various mountain ecosystems)""","abstract-csv","doi_10.1016_j.rhisph.2019.01.001","Abstract","doi:10.1016/j.rhisph.2019.01.001","int_435726f03a4169f2","dark septate endophytes","ascomycota","Resolved","alias_exact_accepted","1.0","95","(not specifically mentioned in text","","Unresolved","no_match","0.0","","2019.0","guild"
"Relevant","abstract","abstract","0.0","10.1016/j.rhisph.2019.01.001","(not specifically mentioned in text","dark septate endophytes","stem","present","mycorrhiza","""isolated from root-microbiome of mountain ecosystems; dominance with increasing altitude; causing shift in colonization of arbuscular mycorrhizal fungi (amf)""; mountain ecosystem","mountain","but likely multiple due to mention of various mountain ecosystems)""","abstract-csv","doi_10.1016_j.rhisph.2019.01.001","Abstract","doi:10.1016/j.rhisph.2019.01.001","int_435726f03a4169f2","dark septate endophytes","ascomycota","Resolved","alias_exact_accepted","1.0","95","(not specifically mentioned in text","","Unresolved","no_match","0.0","","2019.0","guild"
"Relevant","abstract","abstract","0.0","10.1016/j.rhisph.2019.01.001","could be various mountain ecosystem plants)","dark septate endophytes","root","present","mycorrhiza","""isolated from root-microbiome of mountain ecosystems; dominance with increasing altitude; causing shift in colonization of arbuscular mycorrhizal fungi (amf)""; mountain ecosystem","mountain","but likely multiple due to mention of various mountain ecosystems)""","abstract-csv","doi_10.1016_j.rhisph.2019.01.001","Abstract","doi:10.1016/j.rhisph.2019.01.001","int_52f93e3c1371edd3","dark septate endophytes","ascomycota","Resolved","alias_exact_accepted","1.0","95","could be various mountain ecosystem plants)","","Unresolved","no_match","0.0","","2019.0","guild"
"Relevant","abstract","abstract","0.0","10.1016/j.rhisph.2019.01.001","could be various mountain ecosystem plants)","dark septate endophytes","stem","present","mycorrhiza","""isolated from root-microbiome of mountain ecosystems; dominance with increasing altitude; causing shift in colonization of arbuscular mycorrhizal fungi (amf)""; mountain ecosystem","mountain","but likely multiple due to mention of various mountain ecosystems)""","abstract-csv","doi_10.1016_j.rhisph.2019.01.001","Abstract","doi:10.1016/j.rhisph.2019.01.001","int_52f93e3c1371edd3","dark septate endophytes","ascomycota","Resolved","alias_exact_accepted","1.0","95","could be various mountain ecosystem plants)","","Unresolved","no_match","0.0","","2019.0","guild"
"Relevant","abstract","abstract","0.0","10.3390/d13050197","acampe rigida","ceratobasidiaceae otus","root","present","mycorrhiza","isolated through culture-independent method and in vitro culture.; ""epiphytic orchids","southern china""","CHN","abstract-csv","doi_10.3390_d13050197","Abstract","doi:10.3390/d13050197","int_17fc3d2c1f1abdc4","ceratobasidiaceae otus","","Unresolved","no_match","0.0","","acampe rigida","acampe praemorsa longepedunculata","Resolved","synonym_map","0.95","10716439","2021.0","guild"
"Relevant","abstract","abstract","0.0","10.3390/d13050197","acampe rigida","thelephoraceae","root","present","mycorrhiza","isolated through culture-independent method and in vitro culture.; ""epiphytic orchids","southern china""","CHN","abstract-csv","doi_10.3390_d13050197","Abstract","doi:10.3390/d13050197","int_e0641d8fab1bad0d","thelephoraceae","thelephoraceae","Resolved","exact_accepted","1.0","3277","acampe rigida","acampe praemorsa longepedunculata","Resolved","synonym_map","0.95","10716439","2021.0","guild"
"Relevant","abstract","abstract","0.0","10.3390/d13050197","doritis pulcherrima","ceratobasidiaceae otus","root","present","mycorrhiza","isolated through culture-independent method and in vitro culture.; ""epiphytic orchids","southern china""","CHN","abstract-csv","doi_10.3390_d13050197","Abstract","doi:10.3390/d13050197","int_1758b0f3efafd8a0","ceratobasidiaceae otus","","Unresolved","no_match","0.0","","doritis pulcherrima","phalaenopsis pulcherrima","Resolved","synonym_map","0.95","5310988","2021.0","guild"
"Relevant","abstract","abstract","0.0","10.3390/d13050197","doritis pulcherrima","thelephoraceae","root","present","mycorrhiza","isolated through culture-independent method and in vitro culture.; ""epiphytic orchids","southern china""","CHN","abstract-csv","doi_10.3390_d13050197","Abstract","doi:10.3390/d13050197","int_42799cf3c8f9c8e2","thelephoraceae","thelephoraceae","Resolved","exact_accepted","1.0","3277","doritis pulcherrima","phalaenopsis pulcherrima","Resolved","synonym_map","0.95","5310988","2021.0","guild"
"Relevant","abstract","abstract","0.0","10.3390/d13050197","renanthera coccinea","ceratobasidiaceae otus","root","present","mycorrhiza","isolated through culture-independent method and in vitro culture.; ""epiphytic orchids","southern china""","CHN","abstract-csv","doi_10.3390_d13050197","Abstract","doi:10.3390/d13050197","int_32baa755e40ea404","ceratobasidiaceae otus","","Unresolved","no_match","0.0","","renanthera coccinea","renanthera coccinea","Resolved","exact_accepted","1.0","2786221","2021.0","guild"
"Relevant","abstract","abstract","0.0","10.3390/d13050197","renanthera coccinea","thelephoraceae","root","present","mycorrhiza","isolated through culture-independent method and in vitro culture.; ""epiphytic orchids","southern china""","CHN","abstract-csv","doi_10.3390_d13050197","Abstract","doi:10.3390/d13050197","int_d6978c764189f26d","thelephoraceae","thelephoraceae","Resolved","exact_accepted","1.0","3277","renanthera coccinea","renanthera coccinea","Resolved","exact_accepted","1.0","2786221","2021.0","guild"
"Relevant","abstract","abstract","0.0","10.3390/d13050197","robiquetia succisa","ceratobasidiaceae otus","root","present","mycorrhiza","isolated through culture-independent method and in vitro culture.; ""epiphytic orchids","southern china""","CHN","abstract-csv","doi_10.3390_d13050197","Abstract","doi:10.3390/d13050197","int_7cbde07f6237b8a5","ceratobasidiaceae otus","","Unresolved","no_match","0.0","","robiquetia succisa","robiquetia succisa","Resolved","exact_accepted","1.0","2818868","2021.0","guild"
"Relevant","abstract","abstract","0.0","10.3390/d13050197","robiquetia succisa","thelephoraceae","root","present","mycorrhiza","isolated through culture-independent method and in vitro culture.; ""epiphytic orchids","southern china""","CHN","abstract-csv","doi_10.3390_d13050197","Abstract","doi:10.3390/d13050197","int_92138e45ca3b88c1","thelephoraceae","thelephoraceae","Resolved","exact_accepted","1.0","3277","robiquetia succisa","robiquetia succisa","Resolved","exact_accepted","1.0","2818868","2021.0","guild"
"Relevant","abstract","abstract","0.0","10.1139/b03-142","geranium sylvaticum l.","","root","present","mycorrhiza","plants intensively colonized by both arbuscular mycorrhizal fungi and dark septate fungi","forest","","abstract-csv","doi_10.1139_b03-142","Abstract","doi:10.1139/b03-142","int_c7bd409ea476162c","","","Unresolved","none","0.0","","geranium sylvaticum l.","geranium sylvaticum","Resolved","exact_accepted","1.0","2891147","2004.0","guild"
"Relevant","abstract","abstract","0.0","10.2307/2444206","calypso bulbosa (l.) oakes","rhizoctonia anaticula currah","root","present","mycorrhiza","isolated from mycorrhizal roots","","CAN","abstract-csv","doi_10.2307_2444206","Abstract","doi:10.2307/2444206","int_b3957c644d38f770","rhizoctonia anaticula currah","tulasnella anaticula","Resolved","synonym_map","0.95","10756734","calypso bulbosa (l.) oakes","calypso bulbosa","Resolved","exact_accepted","1.0","5323572","1988.0","guild"
"Relevant","abstract","abstract","0.0","10.2307/2444206","calypso bulbosa (l.) oakes","thanatephorus pennatus currah","root","present","mycorrhiza","isolated from mycorrhizal roots","","CAN","abstract-csv","doi_10.2307_2444206","Abstract","doi:10.2307/2444206","int_3164ecb9f7be67fc","thanatephorus pennatus currah","thanatephorus pennatus","Resolved","exact_accepted","1.0","3368634","calypso bulbosa (l.) oakes","calypso bulbosa","Resolved","exact_accepted","1.0","5323572","1988.0","guild"
"Relevant","abstract","abstract","0.0","10.2307/2444206","calypso bulbosa (l.) oakes","leptodontidium orchidicola sigler and currah","root","present","mycorrhiza","isolated from mycorrhizal roots","","CAN","abstract-csv","doi_10.2307_2444206","Abstract","doi:10.2307/2444206","int_20be89253d538952","leptodontidium orchidicola sigler and currah","leptodophora orchidicola","Partially_Resolved","no_match; synonym_map","0.47","11788423","calypso bulbosa (l.) oakes","calypso bulbosa","Resolved","exact_accepted","1.0","5323572","1988.0","guild"
"Relevant","abstract","abstract","0.0","10.2307/2444206","calypso bulbosa (l.) oakes","phialocephala fortinii wang and wilcox","root","present","mycorrhiza","isolated from mycorrhizal roots","","CAN","abstract-csv","doi_10.2307_2444206","Abstract","doi:10.2307/2444206","int_676a423a1f5e4c6a","phialocephala fortinii wang and wilcox","phialocephala fortinii","Partially_Resolved","exact_accepted; no_match","0.5","3484868","calypso bulbosa (l.) oakes","calypso bulbosa","Resolved","exact_accepted","1.0","5323572","1988.0","guild"
"Relevant","abstract","abstract","0.0","10.2307/2444206","calypso bulbosa (l.) oakes","two unnamed isolates of rhizoctonia","root","present","mycorrhiza","isolated from mycorrhizal roots","","CAN","abstract-csv","doi_10.2307_2444206","Abstract","doi:10.2307/2444206","int_a0b79a451ec0a8fe","two unnamed isolates of rhizoctonia","","Unresolved","no_match","0.0","","calypso bulbosa (l.) oakes","calypso bulbosa","Resolved","exact_accepted","1.0","5323572","1988.0","guild"
"Relevant","abstract","abstract","0.0","10.1016/j.apsoil.2021.104308","citrus sinensis osbeck cv. newhall","diversispora spurca","root","present","mycorrhiza","endophytic""; field inoculation of newhall navel oranges; improvement of root fungal colonization.","agriculture","","abstract-csv","doi_10.1016_j.apsoil.2021.104308","Abstract","doi:10.1016/j.apsoil.2021.104308","int_17b13b112ba0a9f4","diversispora spurca","diversispora spurca","Resolved","exact_accepted","1.0","2560209","citrus sinensis osbeck cv. newhall","citrus aurantium","Resolved","synonym_map","0.95","8077391","2022.0","guild"
"Relevant","abstract","abstract","0.0","10.1016/j.apsoil.2021.104308","citrus sinensis osbeck cv. newhall","diversispora spurca","root","present","mycorrhiza","endophytic""; field inoculation of newhall navel oranges; improvement of root fungal colonization.","field","","abstract-csv","doi_10.1016_j.apsoil.2021.104308","Abstract","doi:10.1016/j.apsoil.2021.104308","int_17b13b112ba0a9f4","diversispora spurca","diversispora spurca","Resolved","exact_accepted","1.0","2560209","citrus sinensis osbeck cv. newhall","citrus aurantium","Resolved","synonym_map","0.95","8077391","2022.0","guild"
"Relevant","abstract","abstract","0.0","10.1016/j.apsoil.2021.104308","citrus sinensis osbeck cv. newhall","arbuscular mycorrhizal fungus","root","present","mycorrhiza","endophytic""; field inoculation of newhall navel oranges; improvement of root fungal colonization.","agriculture","","abstract-csv","doi_10.1016_j.apsoil.2021.104308","Abstract","doi:10.1016/j.apsoil.2021.104308","int_349c6f5be26b7c90","arbuscular mycorrhizal fungus","glomeromycota","Resolved","alias_exact_accepted","1.0","18","citrus sinensis osbeck cv. newhall","citrus aurantium","Resolved","synonym_map","0.95","8077391","2022.0","guild"
"Relevant","abstract","abstract","0.0","10.1016/j.apsoil.2021.104308","citrus sinensis osbeck cv. newhall","arbuscular mycorrhizal fungus","root","present","mycorrhiza","endophytic""; field inoculation of newhall navel oranges; improvement of root fungal colonization.","field","","abstract-csv","doi_10.1016_j.apsoil.2021.104308","Abstract","doi:10.1016/j.apsoil.2021.104308","int_349c6f5be26b7c90","arbuscular mycorrhizal fungus","glomeromycota","Resolved","alias_exact_accepted","1.0","18","citrus sinensis osbeck cv. newhall","citrus aurantium","Resolved","synonym_map","0.95","8077391","2022.0","guild"
"Relevant","abstract","abstract","0.0","10.1016/j.apsoil.2021.104308","citrus sinensis osbeck cv. newhall","diversispora versiformis","root","present","mycorrhiza","endophytic""; field inoculation of newhall navel oranges; improvement of root fungal colonization.","agriculture","","abstract-csv","doi_10.1016_j.apsoil.2021.104308","Abstract","doi:10.1016/j.apsoil.2021.104308","int_12d82e3f77c45df8","diversispora versiformis","glomus versiforme","Resolved","synonym_map","0.95","5445137","citrus sinensis osbeck cv. newhall","citrus aurantium","Resolved","synonym_map","0.95","8077391","2022.0","guild"
"Relevant","abstract","abstract","0.0","10.1016/j.apsoil.2021.104308","citrus sinensis osbeck cv. newhall","diversispora versiformis","root","present","mycorrhiza","endophytic""; field inoculation of newhall navel oranges; improvement of root fungal colonization.","field","","abstract-csv","doi_10.1016_j.apsoil.2021.104308","Abstract","doi:10.1016/j.apsoil.2021.104308","int_12d82e3f77c45df8","diversispora versiformis","glomus versiforme","Resolved","synonym_map","0.95","5445137","citrus sinensis osbeck cv. newhall","citrus aurantium","Resolved","synonym_map","0.95","8077391","2022.0","guild"
"Relevant","abstract","abstract","0.0","10.1016/j.apsoil.2021.104308","citrus sinensis osbeck cv. newhall","arbuscular mycorrhizal fungus","root","present","mycorrhiza","endophytic""; field inoculation of newhall navel oranges; improvement of root fungal colonization.","agriculture","","abstract-csv","doi_10.1016_j.apsoil.2021.104308","Abstract","doi:10.1016/j.apsoil.2021.104308","int_2f0d567e97598c4e","arbuscular mycorrhizal fungus","glomeromycota","Resolved","alias_exact_accepted","1.0","18","citrus sinensis osbeck cv. newhall","citrus aurantium","Resolved","synonym_map","0.95","8077391","2022.0","guild"
